"id","code","label","parentId","ontology","uri"
"urn:miriam:icd:I","I","Certain infectious and parasitic diseases","","ICD-10",""
"urn:miriam:icd:A00-A09","A00-A09","Intestinal infectious diseases","urn:miriam:icd:I","ICD-10",""
"urn:miriam:icd:A00","A00","Cholera","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A00"
"urn:miriam:icd:A00.0","A00.0","Cholera due to Vibrio cholerae 01, biovar cholerae","urn:miriam:icd:A00","ICD-10","http://identifiers.org/icd/A00.0"
"urn:miriam:icd:A00.1","A00.1","Cholera due to Vibrio cholerae 01, biovar eltor","urn:miriam:icd:A00","ICD-10","http://identifiers.org/icd/A00.1"
"urn:miriam:icd:A00.9","A00.9","Cholera, unspecified","urn:miriam:icd:A00","ICD-10","http://identifiers.org/icd/A00.9"
"urn:miriam:icd:A01","A01","Typhoid and paratyphoid fevers","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A01"
"urn:miriam:icd:A01.0","A01.0","Typhoid fever","urn:miriam:icd:A01","ICD-10","http://identifiers.org/icd/A01.0"
"urn:miriam:icd:A01.1","A01.1","Paratyphoid fever A","urn:miriam:icd:A01","ICD-10","http://identifiers.org/icd/A01.1"
"urn:miriam:icd:A01.2","A01.2","Paratyphoid fever B","urn:miriam:icd:A01","ICD-10","http://identifiers.org/icd/A01.2"
"urn:miriam:icd:A01.3","A01.3","Paratyphoid fever C","urn:miriam:icd:A01","ICD-10","http://identifiers.org/icd/A01.3"
"urn:miriam:icd:A01.4","A01.4","Paratyphoid fever, unspecified","urn:miriam:icd:A01","ICD-10","http://identifiers.org/icd/A01.4"
"urn:miriam:icd:A02","A02","Other salmonella infections","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A02"
"urn:miriam:icd:A02.0","A02.0","Salmonella enteritis","urn:miriam:icd:A02","ICD-10","http://identifiers.org/icd/A02.0"
"urn:miriam:icd:A02.1","A02.1","Salmonella sepsis","urn:miriam:icd:A02","ICD-10","http://identifiers.org/icd/A02.1"
"urn:miriam:icd:A02.2","A02.2","Localized salmonella infections","urn:miriam:icd:A02","ICD-10","http://identifiers.org/icd/A02.2"
"urn:miriam:icd:A02.8","A02.8","Other specified salmonella infections","urn:miriam:icd:A02","ICD-10","http://identifiers.org/icd/A02.8"
"urn:miriam:icd:A02.9","A02.9","Salmonella infection, unspecified","urn:miriam:icd:A02","ICD-10","http://identifiers.org/icd/A02.9"
"urn:miriam:icd:A03","A03","Shigellosis","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A03"
"urn:miriam:icd:A03.0","A03.0","Shigellosis due to Shigella dysenteriae","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.0"
"urn:miriam:icd:A03.1","A03.1","Shigellosis due to Shigella flexneri","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.1"
"urn:miriam:icd:A03.2","A03.2","Shigellosis due to Shigella boydii","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.2"
"urn:miriam:icd:A03.3","A03.3","Shigellosis due to Shigella sonnei","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.3"
"urn:miriam:icd:A03.8","A03.8","Other shigellosis","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.8"
"urn:miriam:icd:A03.9","A03.9","Shigellosis, unspecified","urn:miriam:icd:A03","ICD-10","http://identifiers.org/icd/A03.9"
"urn:miriam:icd:A04","A04","Other bacterial intestinal infections","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A04"
"urn:miriam:icd:A04.0","A04.0","Enteropathogenic Escherichia coli infection","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.0"
"urn:miriam:icd:A04.1","A04.1","Enterotoxigenic Escherichia coli infection","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.1"
"urn:miriam:icd:A04.2","A04.2","Enteroinvasive Escherichia coli infection","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.2"
"urn:miriam:icd:A04.3","A04.3","Enterohaemorrhagic Escherichia coli infection","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.3"
"urn:miriam:icd:A04.4","A04.4","Other intestinal Escherichia coli infections","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.4"
"urn:miriam:icd:A04.5","A04.5","Campylobacter enteritis","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.5"
"urn:miriam:icd:A04.6","A04.6","Enteritis due to Yersinia enterocolitica","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.6"
"urn:miriam:icd:A04.7","A04.7","Enterocolitis due to Clostridium difficile","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.7"
"urn:miriam:icd:A04.8","A04.8","Other specified bacterial intestinal infections","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.8"
"urn:miriam:icd:A04.9","A04.9","Bacterial intestinal infection, unspecified","urn:miriam:icd:A04","ICD-10","http://identifiers.org/icd/A04.9"
"urn:miriam:icd:A05","A05","Other bacterial foodborne intoxications, not elsewhere classified","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A05"
"urn:miriam:icd:A05.0","A05.0","Foodborne staphylococcal intoxication","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.0"
"urn:miriam:icd:A05.1","A05.1","Botulism","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.1"
"urn:miriam:icd:A05.2","A05.2","Foodborne Clostridium perfringens [Clostridium welchii] intoxication","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.2"
"urn:miriam:icd:A05.3","A05.3","Foodborne Vibrio parahaemolyticus intoxication","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.3"
"urn:miriam:icd:A05.4","A05.4","Foodborne Bacillus cereus intoxication","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.4"
"urn:miriam:icd:A05.8","A05.8","Other specified bacterial foodborne intoxications","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.8"
"urn:miriam:icd:A05.9","A05.9","Bacterial foodborne intoxication, unspecified","urn:miriam:icd:A05","ICD-10","http://identifiers.org/icd/A05.9"
"urn:miriam:icd:A06","A06","Amoebiasis","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A06"
"urn:miriam:icd:A06.0","A06.0","Acute amoebic dysentery","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.0"
"urn:miriam:icd:A06.1","A06.1","Chronic intestinal amoebiasis","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.1"
"urn:miriam:icd:A06.2","A06.2","Amoebic nondysenteric colitis","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.2"
"urn:miriam:icd:A06.3","A06.3","Amoeboma of intestine","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.3"
"urn:miriam:icd:A06.4","A06.4","K77.0","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.4"
"urn:miriam:icd:A06.5","A06.5","J99.8","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.5"
"urn:miriam:icd:A06.6","A06.6","G07","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.6"
"urn:miriam:icd:A06.7","A06.7","Cutaneous amoebiasis","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.7"
"urn:miriam:icd:A06.8","A06.8","Amoebic infection of other sites","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.8"
"urn:miriam:icd:A06.9","A06.9","Amoebiasis, unspecified","urn:miriam:icd:A06","ICD-10","http://identifiers.org/icd/A06.9"
"urn:miriam:icd:A07","A07","Other protozoal intestinal diseases","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A07"
"urn:miriam:icd:A07.0","A07.0","Balantidiasis","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.0"
"urn:miriam:icd:A07.1","A07.1","Giardiasis [lambliasis]","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.1"
"urn:miriam:icd:A07.2","A07.2","Cryptosporidiosis","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.2"
"urn:miriam:icd:A07.3","A07.3","Isosporiasis","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.3"
"urn:miriam:icd:A07.8","A07.8","Other specified protozoal intestinal diseases","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.8"
"urn:miriam:icd:A07.9","A07.9","Protozoal intestinal disease, unspecified","urn:miriam:icd:A07","ICD-10","http://identifiers.org/icd/A07.9"
"urn:miriam:icd:A08","A08","Viral and other specified intestinal infections","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A08"
"urn:miriam:icd:A08.0","A08.0","Rotaviral enteritis","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.0"
"urn:miriam:icd:A08.1","A08.1","Acute gastroenteropathy due to Norwalk agent","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.1"
"urn:miriam:icd:A08.2","A08.2","Adenoviral enteritis","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.2"
"urn:miriam:icd:A08.3","A08.3","Other viral enteritis","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.3"
"urn:miriam:icd:A08.4","A08.4","Viral intestinal infection, unspecified","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.4"
"urn:miriam:icd:A08.5","A08.5","Other specified intestinal infections","urn:miriam:icd:A08","ICD-10","http://identifiers.org/icd/A08.5"
"urn:miriam:icd:A09","A09","Other gastroenteritis and colitis of infectious and unspecified origin","urn:miriam:icd:A00-A09","ICD-10","http://identifiers.org/icd/A09"
